place_id,name,address,latitude,longitude,rating,review_count
ChIJvVcC9dHo3IARLc2ecznvFb0,Starbucks,"24896 Alicia Parkway, Laguna Hills",33.6010368,-117.690835,4.2,402
ChIJMYhrzEzp3IARzPG1gyfTObU,Harmony Tea Bar,"25380 Marguerite Parkway A, Mission Viejo",33.5942707,-117.6589566,4.3,361
ChIJTQVYXS7p3IARsjF3b3kAJ5Y,7-Eleven,"25758 La Paz Road, Laguna Hills",33.595208,-117.6808158,3.3,33
ChIJRRIMxLDu3IARxgEknfAOjb0,Chocobean Coffee,"26032 Marguerite Parkway # D, Mission Viejo",33.5853776,-117.6594557,4.6,207
ChIJ67vSARrp3IARSbjkT2qK7KQ,ampm,"26001 La Paz Road, Mission Viejo",33.5992352,-117.6761936,3.1,7
ChIJmx_eDm_p3IARYeR1K2DmVpQ,Better Buzz Coffee - Laguna Hills,"25252 La Paz Road, Laguna Hills",33.5953687,-117.6806027,4.3,129
ChIJ4f0E0LTv3IAR-oPyrlN0bhQ,Adrienne Domasin,"26600 Oso Parkway, Mission Viejo",33.5811888,-117.665847,,
ChIJc6RZVADp3IARAV1QsNmqHBk,Elegant cafe,"26051 La Paz Road, Mission Viejo",33.5995541,-117.675637,,
ChIJVWJDWbDu3IARrVWf5oc5nyg,Starbucks,"26022 Marguerite Parkway, Mission Viejo",33.585957,-117.657899,4,117
ChIJaXulWovv3IAR5HlTNYhAgyM,High Ground Coffee House,"25522 Marguerite Parkway #102, Mission Viejo",33.5919718,-117.6593895,4.5,146
ChIJqdv1zEzp3IARZimACcdyFJE,Savour Bakery,"25380 Marguerite Parkway, Mission Viejo",33.594141,-117.658944,4.8,201
ChIJaRsU6xnp3IAROqXfUcEXzeE,Starbucks,"24012 Alicia Parkway, Mission Viejo",33.61356,-117.67945,4.2,315
ChIJDbtIphDp3IARTMWoJUUyYYg,ampm,"23921 Alicia Parkway, Mission Viejo",33.6152868,-117.6790948,2,13
ChIJ_8WbbRrp3IARVxxW7ehXZWY,Kona Loa Coffee Mission Viejo,"25800 Jeronimo Road #401A, Mission Viejo",33.61684200000001,-117.6800347,4.6,549
ChIJ-6QtCeDo3IARyxkVGc1mMcU,Surfin Donuts,"24451 Alicia Parkway #5, Mission Viejo",33.6072068,-117.6914149,4.5,202
ChIJ9fEwtQ7p3IAR27BOkqguW1M,7-Eleven,"23012 Los Alisos Boulevard, Mission Viejo",33.6283224,-117.6652562,4.1,32
ChIJJ3CQhG7p3IARQotV_BbICdA,McDonald's,"26902 Trabuco Road, Mission Viejo",33.6216082,-117.6607177,3.6,690
ChIJB3qqqDrp3IARWFKGskMJ1u8,Starbucks,"24500 Alicia Parkway, Mission Viejo",33.60630919999999,-117.6881741,4.1,121
ChIJC1PCvXXp3IARqQSDy01BWqU,Starbucks,"25565 Los Alisos Boulevard, Mission Viejo",33.622959,-117.68145,4.1,178
ChIJQTB9KMvp3IARtQ5ZEGZ-HCE,Diotima Bakehouse,"25542 Jeronimo Road, Mission Viejo",33.6217897,-117.6845966,4.9,121
ChIJ61YQoUDp3IARORj5TcOJIDQ,Philz Coffee,"24440 Alicia Parkway Suite D, Mission Viejo",33.60728960000001,-117.6891054,4.1,77
ChIJNXEpGbXp3IARvOahDVQxabI,Bagels & Brew,"21771 Lake Forest Drive #100, Lake Forest",33.64674759999999,-117.6887919,4.5,643
ChIJCaHwgaXp3IAREX_M-37DyMY,Starbucks,"22331-A El Toro Road, Lake Forest",33.6385365,-117.6783888,4.2,288
ChIJsQf3zLXp3IARSLzglHLobKM,7-Eleven,"21701 Lake Forest Drive, Lake Forest",33.6477938,-117.6851466,3.4,60
ChIJ3xDPyv_p3IARfyd5tFljkrE,Pengo Drink Station,"22367 El Toro Road, Lake Forest",33.6387772,-117.6807472,4.5,183
ChIJF2kVb9vp3IARQXfBkGRW-Io,The Coffee Bean & Tea Leaf,"22441 El Toro Road, Lake Forest",33.6364054,-117.6814928,4.3,175
ChIJM7Acs6Lp3IARu68PXR5jBMk,The Human Bean,"21991 El Toro Road Ste 10, Lake Forest",33.64397039999999,-117.6669213,4.7,229
ChIJ18FQznDC3IARq7M-AHr_6CU,Starbucks,"20451 Alton Parkway, Lake Forest",33.67809239999999,-117.6766572,4.4,452
ChIJLxABgMLp3IARKJJ1o0Amapk,BluFig Hookah Lounge,"20672 Lake Forest Drive A, Lake Forest",33.662096,-117.666833,4.2,239
ChIJoVZKrObp3IAR8MB07KXXLW4,Bodhi Leaf Coffee Traders,"20025 Lake Forest Drive STE 101, Lake Forest",33.6706932,-117.6617144,4.5,310
ChIJ21IkZAvC3IARwNKX52E63VA,Dunkin',"26722 Portola Parkway A, Foothill Ranch",33.6799475,-117.6650971,3.9,212
ChIJe5aDwrTp3IARVYWGD35PZvg,Starbucks,"20790 Lake Forest Drive, Lake Forest",33.660382,-117.668697,4.1,434
ChIJRx2H0OHp3IARGYPDSMv1Qug,Mustard Cafe & Grill Foothill Ranch,"41 Auto Center Drive Ste 103, Foothill Ranch",33.67479819999999,-117.6633757,4.4,185
ChIJuST-buDp3IARme3sT1lkYdc,Shell,"26721 Rancho Parkway, Lake Forest",33.67303,-117.665721,3.5,77
ChIJTVZlnwzC3IAR3tQjAqDkeLg,McDonald's,"26692 Portola Parkway, Foothill Ranch",33.6806754,-117.6653954,3.7,581
ChIJR20A1G3C3IARV_GOKayRWvU,Starbucks,"26762 Portola Parkway, Foothill Ranch",33.6762471,-117.6644668,4,78
ChIJr-6acujp3IARoZUBnBfHpxs,7-Eleven,"20562 Regency Lane, Lake Forest",33.6642901,-117.6652918,2.5,26
ChIJ4wPjbxvp3IARQz_Nq1m4lRE,The Eatery at Taste,"25722 Commercentre Drive, Lake Forest",33.66373319999999,-117.6819386,5,3
ChIJ12o0WEzp3IARt7_kcDgg4Cg,Loop Neighborhood Market,"26721 Rancho Pkwy, Lake Forest Drive, Lake Forest",33.67317469999999,-117.6660351,3,11
ChIJX0X4aQbp3IARPdwJrwuUDoQ,Rose Cafe Lake Forest,"20672 Lake Forest Drive suite b, Lake Forest",33.6620034,-117.6668374,4.7,302
ChIJ6ZfTSKrp3IARZ6Q3-tCEkFU,Presotea- Foothill Ranch,"41 Auto Center Drive Suite 109A, Lake Forest",33.6746288,-117.6632395,4.1,63
ChIJE_2JyLHD3IARmgQylvAWxxM,INC Coffee Roasters,"26672 Portola Parkway, Foothill Ranch",33.6809907,-117.667777,5,6
ChIJe1lN7J3D3IARnm3Lq8LxJ2w,7-Eleven,"26731 Portola Parkway, Lake Forest",33.6803783,-117.664225,2.3,19
ChIJZ1meVczD3IARKYu7NtZnmoU,3rd Place Coffee,"26741 Portola Parkway STE 1-A, Foothill Ranch",33.6807449,-117.6638116,4.6,125
ChIJTX2iFADp3IARhylf_o1H_SE,Sabr Coffee House,"27121 Towne Centre Drive, Lake Forest",33.6733887,-117.6564282,4.3,28
ChIJf_fMoSbP3IAR86PBTniKDiI,Starbucks,"4718 Green River Road, Corona",33.877895,-117.65968,4.2,1324
ChIJo_x1b0_M3IARj0YFV0ur21M,Rendez-vous Cafe,"5751 Pine Avenue ste b, Chino Hills",33.94658020000001,-117.679526,4.6,212
ChIJFRWC-B3N3IARIscA71Pa0u0,ampm,"15380 Fairfield Ranch Road, Chino Hills",33.97200739999999,-117.6894284,2.4,7
ChIJtdUJ-bUyw4ARekV0OLOToHw,Cafe 86 - Chino Hills,"15938 Los Serranos Country Club Drive, Chino Hills",33.9634395,-117.6965116,4.5,350
ChIJt5VGZuLM3IARWLnb-L314YI,Starbucks,"15463 Fairfield Ranch Road, Chino Hills",33.97141399999999,-117.689378,4.3,355
ChIJg0lBkgPN3IARVyqzsg1YFjU,McDonald's,"15950 Los Serranos Country Club Drive, Chino Hills",33.9626424,-117.6951368,3.3,762
ChIJX3WAT-LM3IARYkxwQWwLfz8,7-Eleven,"15450 Fairfield Ranch Road, Chino Hills",33.97179990000001,-117.6883316,3.8,42
ChIJzSIsY7fN3IAR7XA9nufQdDE,Take Ur Seat (Chino Hills),"15871 Pomona Rincon Road #100, Chino Hills",33.9650733,-117.6910818,4.5,555
ChIJmx7PNKTN3IAREbHo0NUWW7s,7 Leaves Cafe Chino Hills - Rincon Rd,"15911 Pomona Rincon Road STE 100, Chino Hills",33.9647233,-117.6913507,4.7,157
ChIJty974gPN3IARiLxJ7tlvocU,Starbucks,"15970 Los Serranos Country Club Drive, Chino Hills",33.961485,-117.695514,4,154
ChIJpcwiCxzN3IARfIV6c2Qj0ms,Nekter Juice Bar,"15855 Soquel Canyon Parkway, Chino Hills",33.9639498,-117.6920932,4.2,109
ChIJU4garqfN3IARA_gQEjPW7QE,Starbucks,"15855 Soquel Canyon Parkway, Chino Hills",33.9639661,-117.6921209,4.4,259
ChIJYekjuwPN3IARrbNsNGd5Nqo,Platform 909,"15870 Soquel Canyon Parkway ste m, Chino Hills",33.9638721,-117.6941149,4.4,374
ChIJ7bQgWdUyw4ARb_1kmdsh8fY,Caffe D'Vita,Chino,33.99974050000001,-117.6906047,,
ChIJJSXqjSkzw4ARu_ik-N1zWVE,ampm,"13691 Central Avenue, Chino",34.0052018,-117.688497,2.8,11
ChIJS6dzzxQzw4ARJ8y2oKfwE7I,7-Eleven,"12345 Mountain Avenue, Chino",34.0284289,-117.6673726,2.6,18
